16 0.881079 0.870977
24 1.23554 1.21204
32 1.65844 1.63405
48 2.44003 2.40704
64 3.28968 3.25744
96 5.12696 5.06003
128 6.78915 6.70065
192 9.38513 9.3531
256 12.3841 9.90849
384 19.4873 16.6963
512 24.7008 24.4848
768 40.0464 39.8159
1024 50.3176 49.6439
1536 73.1304 71.6829
2048 96.4146 92.905
3072 137.81 132.932
4096 187.212 184.081
6144 272.055 266.075
8192 349.679 340.627
12288 500.016 493.705
16384 637.743 604.268
24576 831.679 755.706
32768 663.619 595.231
49152 893.526 856.909
65536 1050.72 901.142
